"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 12 00:00:57 MSK 2023","Tue Dec 12 00:00:57 MSK 2023","11","","Account DataAccess Unit Tests","","UnitTests.UnitTestsDA.AccountDAUnitTests","UnitTests.UnitTestsDA.AccountDAUnitTests.TestDeleteAccount","UnitTests.UnitTestsDA.AccountDAUnitTests.TestDeleteAccount",""
"passed","Tue Dec 12 00:00:57 MSK 2023","Tue Dec 12 00:00:57 MSK 2023","14","","Busy Book DataAccess Unit Tests","","UnitTests.UnitTestsDA.BusyBookDAUnitTests","UnitTests.UnitTestsDA.BusyBookDAUnitTests.TestGetBusyBook","UnitTests.UnitTestsDA.BusyBookDAUnitTests.TestGetBusyBook",""
"passed","Tue Dec 12 00:00:57 MSK 2023","Tue Dec 12 00:00:57 MSK 2023","1","","Account DataAccess Unit Tests","","UnitTests.UnitTestsDA.AccountDAUnitTests","UnitTests.UnitTestsDA.AccountDAUnitTests.TestGetIdAccount","UnitTests.UnitTestsDA.AccountDAUnitTests.TestGetIdAccount",""
"passed","Tue Dec 12 00:00:57 MSK 2023","Tue Dec 12 00:00:57 MSK 2023","6","","Bookstore DataAccess Unit Tests","","UnitTests.UnitTestsDA.BookstoreDaUnitTests","UnitTests.UnitTestsDA.BookstoreDaUnitTests.TestAddBookstore","UnitTests.UnitTestsDA.BookstoreDaUnitTests.TestAddBookstore",""
"passed","Tue Dec 12 00:00:57 MSK 2023","Tue Dec 12 00:00:57 MSK 2023","1","","Place Book DataAccess Unit Tests","","UnitTests.UnitTestsDA.PlaceBookDAUnitTests","UnitTests.UnitTestsDA.PlaceBookDAUnitTests.TestGetIdPlaceBook","UnitTests.UnitTestsDA.PlaceBookDAUnitTests.TestGetIdPlaceBook",""
"passed","Tue Dec 12 00:00:56 MSK 2023","Tue Dec 12 00:00:56 MSK 2023","1","","Book Services Unit Tests","","UnitTests.UnitTestsBL.Mock.BookServicesMock","UnitTests.UnitTestsBL.Mock.BookServicesMock.TestAddExistsBook","UnitTests.UnitTestsBL.Mock.BookServicesMock.TestAddExistsBook",""
"passed","Tue Dec 12 00:00:56 MSK 2023","Tue Dec 12 00:00:56 MSK 2023","2","","Busy Book Services Unit Tests","","UnitTests.UnitTestsBL.Mock.BusyBookServicesMock","UnitTests.UnitTestsBL.Mock.BusyBookServicesMock.TestGetIdBusyBookByBook","UnitTests.UnitTestsBL.Mock.BusyBookServicesMock.TestGetIdBusyBookByBook",""
"passed","Tue Dec 12 00:00:57 MSK 2023","Tue Dec 12 00:00:57 MSK 2023","1","","Place Book DataAccess Unit Tests","","UnitTests.UnitTestsDA.PlaceBookDAUnitTests","UnitTests.UnitTestsDA.PlaceBookDAUnitTests.TestGetPlaceBook","UnitTests.UnitTestsDA.PlaceBookDAUnitTests.TestGetPlaceBook",""
"passed","Tue Dec 12 00:00:56 MSK 2023","Tue Dec 12 00:00:57 MSK 2023","755","","Classic Book Unit Tests","","UnitTests.UnitTestsBL.Classic.BookServicesUnitTests","UnitTests.UnitTestsBL.Classic.BookServicesUnitTests.TestGetAllBook","UnitTests.UnitTestsBL.Classic.BookServicesUnitTests.TestGetAllBook",""
"passed","Tue Dec 12 00:00:57 MSK 2023","Tue Dec 12 00:00:57 MSK 2023","1","","Book DataAccess Unit Tests","","UnitTests.UnitTestsDA.BookDAUnitTests","UnitTests.UnitTestsDA.BookDAUnitTests.TestAddBook","UnitTests.UnitTestsDA.BookDAUnitTests.TestAddBook",""
